Cultural_Ethnic_Group_Key,Group_Code,Cultural_Ethnic_Group,Cultural_Ethnic_Group_Date
f802b5928ba5c8f4206c2d97ddcedc63,9199,"Central and West African, nec",2024-07-11
a6dd74d51840f1b8d77d693c41923a24,9201,Afrikaner,2024-07-11
70e8e7c3f5faa07f1118b2901d1c5964,9202,Angolan,2024-07-11
e39dcadfea05ae48b8baa3c6cd0cdfe5,9203,Eritrean,2024-07-11
3a3b72ed35b23e708e467b856b2427e0,9204,Ethiopian,2024-07-11
7cb0a51e3fae6836422050b3753f23d0,9205,Kenyan,2024-07-11
ee36f8778a086ed41f24ea5681035215,9206,Malawian,2024-07-11
762afb091cbef9e615b69a40f0148e95,9207,Mauritian,2024-07-11
e93035736a219d35af4477b36ef0ee8c,9208,Mozambican,2024-07-11
5429cc534eab6249951ba6e615ee1e20,9211,Namibian,2024-07-11
57984441655728dfe9c7cc33e12dfa4c,9212,Oromo,2024-07-11
8bbfef668b9256ad65eeb8bff1a1080f,9213,Seychellois,2024-07-11
0b104da57394974764cc7b3a42f2c1de,9214,Somali,2024-07-11
96d42fc0ef87380a12b7bae04e82a0e3,9215,South African,2024-07-11
e22fd50189fdc925c443d3a17ba662a7,9216,Tanzanian,2024-07-11
244fc6b683c4f2e2c8d7027ea29d4204,9217,Ugandan,2024-07-11
6128a0ff1ec2ca1a497d451b7b2e5c63,9218,Zambian,2024-07-11
63a82b5895b05c419728fd81dad1c0a1,9221,Zimbabwean,2024-07-11
8126305164a04b80cfe39f6fb6c0c596,9222,Amhara,2024-07-11
c7124306f81c02d501f2048ed028730c,9223,Batswana,2024-07-11
b337823c2612ae688825a0eeee410714,9225,Hutu,2024-07-11
956c505db123a29d74876941513cbe21,9226,Masai,2024-07-11
b794cc862acc03449a422a3163256582,9228,Tigrayan,2024-07-11
c03e357298bfbff1af7bd2e40353d71f,9231,Tigre,2024-07-11
68046733e4659165a4f59a1918cb1408,9232,Zulu,2024-07-11
c33821695c0976fe6fe001df761164f0,9233,Burundian,2024-07-11
f3ab5f0a3c6d7675e4183bbb6dc88e50,9234,Kunama,2024-07-11
a50ede8a89e5f31ed817aab8ec4c7578,9235,Madi,2024-07-11
1921a42f6f188c9e188d3905cbd68d08,9236,Ogaden,2024-07-11
7742cf8077566344fd8e989a43694d6c,9237,Rwandan,2024-07-11
6cd16662548644fb2621f46c01701334,9238,Shona,2024-07-11
9af95fb4ee44dce25961e7251072625b,9241,Swahili,2024-07-11
430cdde15c2174bd683db301c57ff27b,9242,Swazilander,2024-07-11
482f5e8b7c10f2ff78e433c6b5c98f6f,9299,"Southern and East African, nec",2024-07-11
