Detailed_Fields_Key,Detailed_Fields,Field_Description,Detailed_Fields_Date
892fc2c93744845e96d8429b0c3d5fd0,091303,Curatorial Studies,2024-07-11
eb1940ec5ff6b7477ed2a5434d5e83e7,091501,English Language,2024-07-11
3d88630c74b18ab2cc2ad706d97a3ce1,091503,Northern European Languages,2024-07-11
6e8c769183a07419a27f716a5c1576e9,091505,Southern European Languages,2024-07-11
b05abac018287f38cee44741f33d48ad,091507,Eastern European Languages,2024-07-11
8b040eb0a474a1a5d806207ff0dff4d8,091509,Southwest Asian and North African Languages,2024-07-11
b00a55f7d320da7bf442cf280d6dca8c,091511,Southern Asian Languages,2024-07-11
d6e3b07e387fd3a3182db1054d3860c5,091513,Southeast Asian Languages,2024-07-11
15928b71d0854b1e5d905d448d37433f,091515,Eastern Asian Languages,2024-07-11
29f259b71502d243257ae2f137c76980,091517,Australian Indigenous Languages,2024-07-11
aedb145625c37efec455866c35847eea,091519,Translating and Interpreting,2024-07-11
76ef2e4e9eec40542b8c23808ad9f4e2,091521,Linguistics,2024-07-11
6d996e98f1eedaa5e2fd77541175e6e5,091523,Literature,2024-07-11
9f11514419e3ed5b3fa7ecc9eb0d1ee5,091599,"Language and Literature, n.e.c.",2024-07-11
7d7fa3dc3cb3d40e807f6337c36778f3,091701,Philosophy,2024-07-11
d4d746b44971e51033e9b90a4a4ff121,091703,Religious Studies,2024-07-11
945597847e68aa4df3a108a429c54700,091901,Economics,2024-07-11
98e2bc607dc83c9ccfdfcb9e43f02090,091903,Econometrics,2024-07-11
f1ffb0c365a6a6fc0cc6b7595f72781f,092101,Sport and Recreation Activities,2024-07-11
c2c58b7594896f44325342a410771f48,092103,"Sports Coaching, Officiating and Instruction",2024-07-11
ff3591e182ee9555fc2d9a3134a8ec1e,092199,"Sport and Recreation, n.e.c.",2024-07-11
8b7ae701f2bd683746d095ece8a3e518,099901,Family and Consumer Studies,2024-07-11
18a6787ac0d1997baed53013094e4c95,099903,Criminology,2024-07-11
b9dda1b28eeb87cf1ebd4d02e4b7981c,099905,Security Services,2024-07-11
6b53ace746d0c1d825d2d185f47a48a9,099999,"Society and Culture, n.e.c.",2024-07-11
732e276ec85f14e663faef225d06612c,100101,Music,2024-07-11
9ae26ff44c264acff8eab84ba2950d57,100103,Drama and Theatre Studies,2024-07-11
123faaaa42b5d902e8873b4b91a21acf,100105,Dance,2024-07-11
ff1a4f97d6927a2cceacc68d02b7d78d,100199,"Performing Arts, n.e.c.",2024-07-11
a6061a0c10b13bf3faf1373a525505c9,100301,Fine Arts,2024-07-11
650d74a05a062a411624372c0cce414d,100303,Photography,2024-07-11
bdb30dc382b1d55ab23d56c91abe4a26,100305,Crafts,2024-07-11
2ee0846f77396487a46ed283a837e235,100307,Jewellery Making,2024-07-11
d709ac8e1ed393d036c895d239d825a4,100309,Floristry,2024-07-11
518fa0d4eb2707f289b2904bfb72bdda,100399,"Visual Arts and Crafts, n.e.c.",2024-07-11
8e30032004d7744a9e3c33e8e81471ec,100501,Graphic Arts and Design Studies,2024-07-11
9015e536b1458c33bd7f595a7c832b5e,100503,Textile Design,2024-07-11
a29e9f52618353450557f9103ce33287,100505,Fashion Design,2024-07-11
87e9345183a4d8ed7a85fbcac1204d54,100599,"Graphic and Design Studies, n.e.c.",2024-07-11
416d07c6075b83e829f5caa29891cdf2,100701,Audio Visual Studies,2024-07-11
