key,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
531a192ef56b0c958ae831a8c40898bb,21102,Manningham - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria
775a90dc133a5870654dc448e95ce41b,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria
0a03d5e4473c0629cfb20c5c31543b06,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria
2e8abed6b12530e83f890e90ad4fbeb3,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria
8e088b124c72a1ac0dcbcbdebbfb08f3,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria
a7633a637f2f7a3ea7a9a04807eeca97,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
1b4f877baadb44b36ff73a44e05ebd4c,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
c7e2ac420af977df8c6ccc95ac8dc911,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
d5ece54ea76a9e6632f4242df1820164,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria
31baf5edc57d76fd3005222389ca498f,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria
8cb060b4a9c350a9d34b588479d20c9f,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria
973bc36f4729330b7993f2fdb1a7f9e7,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria
8c2f64f08271fc4e4351c12acee2a932,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria
60ee22c27013613e980104db94ae53c9,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
065f16a07047ae1c3b0c4ab8da87fe8e,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
